procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 217056  71584 1006500    0    0     2    11    6    2  6  1 93  0  1
 0  0      0 217056  71588 1006872    0    0     1   407  622  981  9  1 89  1  1
 2  0      0 216832  71588 1007256    0    0     0    64  741 1186 11  1 88  0  1
 2  0      0 216832  71588 1007680    0    0     0   109 1317 2155 23  1 74  0  2
 1  0      0 216832  71588 1008084    0    0     0    58 1442 2365 27  2 70  0  2
 1  0      0 216832  71588 1008272    0    0     0   109 1547 2572 27  1 71  0  1
 0  0      0 216944  71592 1008276    0    0     0    58  979 1484 16  1 68  0 14
 0  0      0 216272  71592 1008280    0    0     0   133 1567 2567 31  2 65  0  2
 0  0      0 303568  71592 1008280    0    0     0   155 1534 2427 36  3 59  0  2
 2  0      0 348336  71596 1008288    0    0     0    58 1440 2320 39  2 58  0  1
 3  0      0 341608  71596 1008288    0    0     0   109 1627 2607 47  3 48  0  3
 2  0      0 328172  71596 1008424    0    0     0    58 1445 2211 42  2 54  0  2
 1  0      0 282624  71596 1008424    0    0     0   109 1611 2628 43  4 52  0  1
 0  0      0 304964  71596 1008428    0    0     0   113 1565 2504 40  4 55  0  2
 1  0      0 359280  71612 1008432    0    0     0   146 1605 2670 43  3 53  0  1
 1  0      0 307288  71612 1008556    0    0     0   111 1505 2426 42  3 55  0  1
 1  0      0 285000  71612 1008824    0    0     0    59 1487 2341 37  2 58  0  2
 0  0      0 293640  71612 1009036    0    0     0   110  986 1524 26  2 71  0  1
 0  0      0 341524  71620 1009420    0    0     0   109  528  802 12  1 86  0  2
