procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 445080   2168 308576    0    0     3    12  262  323  1  0 99  0  0
 0  0      0 411060   2168 308584    0    0     0     4  764  905  2  1 97  0  0
 0  0      0 392412   2168 308584    0    0     0     1 1047 1243  2  1 94  0  3
 0  0      0 379556   2168 308584    0    0     0     4 1217 1436  2  2 91  0  5
 0  0      0 360168   2168 308584    0    0     0     2 2426 2483  2  3 94  0  1
 0  0      0 357780   2168 308596    0    0     0     7 2117 2523  3  2 94  0  1
 0  0      0 348960   2168 308596    0    0     0   370 2285 2419  3  2 94  0  0
 0  0      0 342936   2168 308600    0    0     0     4 2138 2337  2  2 95  0  0
 0  0      0 341928   2168 308600    0    0     0     1 2168 2389  2  2 95  0  1
 0  0      0 335120   2168 308600    0    0     0    22 2131 2374  2  3 95  0  0
 0  0      0 331592   2168 308600    0    0     0     1 2111 2404  3  2 95  0  0
 0  0      0 330848   2168 308600    0    0     0     3 2062 2246  3  2 95  0  0
 3  0      0 326732   2168 308600    0    0     0     1 2596 2643  2  2 96  0  1
 0  0      0 316676   2168 308600    0    0     0     1 1916 2221  2  2 96  0  0
 0  0      0 317952   2168 308604    0    0     0     4 1615 1629  3  4 85  0  9
 0  0      0 317712   2168 308604    0    0     0    34 2146 2234  3  2 95  0  1
 0  0      0 324760   2168 308604    0    0     0     1 2525 2431  3  3 94  0  1
 0  0      0 328816   2168 308604    0    0     0     3 1455 1648  1  2 97  0  0
 0  0      0 342928   2168 308604    0    0     0     1  930 1151  2  1 97  0  0
