procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 748468  40512 499212    0    0     6   528   13   16  6  1 91  0  2
 0  0      0 748244  40524 499240    0    0     0    39  429  694  6  0 93  0  0
 1  0      0 747124  40528 499260    0    0     0   243  749 1232 12  1 87  0  0
 1  0      0 783584  40536 499300    0    0     0    62 1042 1719 22  2 76  0  0
 2  0      0 780056  40540 499348    0    0     0    30 1343 2144 24  1 65  0  9
 1  0      0 778292  40548 499400    0    0     0   219 1454 2382 26  1 68  0  5
 0  0      0 767904  40552 499456    0    0     0    31 1328 2161 27  1 71  0  1
 1  0      0 808540  40556 499508    0    0     0    32 1502 2451 33  2 64  0  1
 0  0      0 774856  40560 499556    0    0     0    74 1444 2387 32  3 65  0  1
 1  0      0 772032  40564 499616    0    0     0    46 1313 2169 23  1 75  0  1
 2  0      0 772032  40568 499660    0    0     0   126 1403 2293 25  1 73  0  1
 0  0      0 770268  40572 499720    0    0     0    42 1280 2122 23  1 75  0  1
 1  0      0 767104  40576 499768    0    0     0    46 1302 2155 24  1 74  0  0
 0  0      0 853356  40580 499856    0    0     0    45 1326 2168 28  2 70  0  0
 0  0      0 736064  40580 499908    0    0     0    51 1346 2177 30  2 68  0  0
 1  0      0 742816  40580 500088    0    0     0    51 1559 2391 38  2 59  0  0
 2  0      0 767212  40588 500136    0    0     0    46 1281 2033 28  2 61  0  9
 0  0      0 867528  40596 500184    0    0     0   138 1154 1875 22  1 74  0  3
 0  0      0 872080  40596 500196    0    0     0    39  487  762 16  1 83  0  0
