procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  99468  75868 1216936    0    0     2    11   15   15  6  1 93  0  1
 0  0      0  99468  75868 1217060    0    0     0   214  249  350  1  0 98  0  1
 1  0      0  99468  75868 1217064    0    0     0    10  409  609  2  0 97  0  1
 1  0      0  99468  75868 1217072    0    0     0   180  700 1060  3  1 92  0  4
 1  0      0  99468  75868 1217212    0    0     0     8  845 1283  4  1 90  0  5
 0  0      0  99468  75868 1217312    0    0     0    22 1114 1689  5  2 85  0  9
 0  0      0  99468  75868 1217448    0    0     0     5 1302 1988  6  2 82  0 10
 0  0      0  99468  75868 1217640    0    0     0     9 1369 2107  6  3 77  0 14
 0  0      0  99216  75868 1217924    0    0     0     9 1447 2208  6  2 85  0  7
 0  0      0  99216  75868 1218068    0    0     0   121 1433 2176  5  2 87  0  6
 1  0      0  99216  75868 1218344    0    0     0     5 1435 2198  6  2 87  0  5
 1  0      0  99216  75868 1218488    0    0     0     5 1319 1991  7  3 71  0 19
 0  0      0  99216  75868 1218512    0    0     0     6 1470 2234  6  2 83  0  9
 1  0      0  99216  75868 1218532    0    0     0    10 1463 2220  7  2 84  0  7
 0  0      0  99216  75868 1218612    0    0     0   128 1471 2217  6  2 84  0  7
 0  0      0  99216  75868 1219004    0    0     0     5 1488 2240  7  2 83  0  9
 0  0      0  99216  75868 1219276    0    0     0     5 1471 2215  6  2 84  0  8
 0  0      0  99216  75868 1219420    0    0     0     6 1487 2243  6  2 84  0  7
 0  0      0  99216  75868 1220020    0    0     0     7 1482 2223  6  2 87  0  6
 0  0      0  99216  75868 1220172    0    0     0     5 1603 2439  8  2 81  0  9
 2  0      0  99216  75868 1220204    0    0     0   147 1852 2884  7  2 83  0  7
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  99216  75868 1220356    0    0     0    11 1908 3006  8  2 82  0  9
 1  0      0  98992  75868 1220384    0    0     0     5 1985 3137  9  3 82  0  6
 0  0      0  98992  75868 1220540    0    0     0     5 1653 2542  7  3 73  0 17
 0  0      0  98992  75868 1220564    0    0     0     5 1808 2803  8  3 78  0 12
 0  0      0  98992  75868 1220720    0    0     0     5 1824 2863  8  3 79  0 11
 0  0      0  98992  75868 1220748    0    0     0   186 1887 2975  7  3 81  0  9
 0  0      0  98992  75868 1220908    0    0     0     5 1745 2721  8  3 76  0 13
 0  0      0  98992  75868 1221060    0    0     0    11 1758 2745  8  3 77  0 13
 0  0      0  98992  75868 1221212    0    0     0     5 1903 2980  9  3 80  0  9
 0  0      0  98992  75868 1221248    0    0     0     5 2033 3228  8  2 84  0  5
 0  0      0  98992  75868 1221404    0    0     0     5 1971 3106  8  3 82  0  7
 0  0      0  98992  75868 1221512    0    0     0   189 1987 3137 10  3 81  0  7
 0  0      0  98992  75868 1221592    0    0     0     6 2026 3216  9  3 82  0  5
 0  0      0  98992  75868 1222008    0    0     0     5 1993 3172  9  3 82  0  6
 0  0      0  98992  75868 1222148    0    0     0    11 1593 2445  8  2 71  0 19
 0  0      0  98992  75868 1222508    0    0     0     5 1641 2523  9  3 73  0 16
 1  0      0  98992  75868 1222708    0    0     0     5 1633 2498  9  2 73  0 16
 0  0      0  98992  75868 1222860    0    0     0   196 1770 2788  9  2 77  0 12
 0  0      0  98992  75868 1222888    0    0     0     6 1890 2990  9  3 80  0  8
 0  0      0  98992  75868 1223164    0    0     0     5 1541 2374  6  2 87  0  4
 0  0      0  98992  75868 1223568    0    0     0     6 1021 1531  5  2 91  0  2
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0  98992  75868 1223704    0    0     0    10  520  770  2  1 96  0  1
