procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 408208   2168 330776    0    0     1    11  158  129  1  0 99  0  0
 0  0      0 389572   2168 330784    0    0     0     2  669  905  2  1 97  0  0
 0  0      0 381256   2168 330784    0    0     0     0 1065 1525  1  1 96  0  2
 1  0      0 369916   2168 330784    0    0     0     0 1756 2131  2  1 96  0  1
 0  0      0 358548   2168 330784    0    0     0     2 2452 2953  3  2 95  0  1
 0  0      0 346212   2168 330784    0    0     0     3 2834 3529  3  2 95  0  1
 0  0      0 335392   2168 330788    0    0     0    20 3337 4042  2  2 95  0  1
 0  0      0 331360   2168 330784    0    0     0     2 3821 4471  3  2 94  0  1
 0  0      0 325488   2168 330784    0    0     0     2 3770 4538  4  3 93  0  1
 0  0      0 321292   2168 330784    0    0     0     0 3477 4532  3  3 93  0  1
 0  0      0 319208   2168 330784    0    0     0     0 3521 4465  3  2 93  0  1
 0  0      0 319208   2168 330784    0    0     0   407 3364 4337  3  2 94  0  1
 0  0      0 318952   2168 330784    0    0     0    26 3409 4196  3  2 94  0  1
 0  0      0 317140   2168 330788    0    0     0     1 3640 4442  3  2 95  0  1
 0  0      0 316888   2168 330788    0    0     0     2 2839 3522  3  3 90  0  4
 0  0      0 306724   2168 330788    0    0     0     0 3389 4034  3  3 93  0  1
 0  0      0 306536   2168 330788    0    0     0     0 3169 4107  4  3 93  0  1
 0  0      0 304696   2168 330792    0    0     0     6 3510 4152  3  3 92  0  1
 0  0      0 304328   2168 330792    0    0     0    17 3402 4089  3  3 93  0  2
 0  0      0 300548   2168 330792    0    0     0     2 3456 4437  3  2 93  0  1
 2  0      0 288416   2168 330796    0    0     0     0 4356 5354  5  3 91  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 276128   2168 330796    0    0     0     2 4777 5795  5  4 89  0  2
 0  0      0 271840   2168 330796    0    0     0     0 5279 6278  6  4 89  0  1
 0  0      0 263272   2168 330796    0    0     0     0 4472 5771  5  3 91  0  1
 2  0      0 262704   2168 330796    0    0     0     9 4986 5936  6  3 90  0  1
 0  0      0 248884   2168 330796    0    0     0     2 4878 5912  4  3 91  0  1
 0  0      0 245104   2168 330796    0    0     0     0 3732 4468  5  3 84  0  8
 0  0      0 205964   2168 330800    0    0     0     2 5051 5829  5  3 90  0  2
 0  0      0 205452   2168 330800    0    0     0     2 4709 5825  4  4 90  0  2
 0  0      0 200348   2168 330808    0    0     0     6 4602 5711  5  5 89  0  2
 0  0      0 200348   2168 330808    0    0     0   418 4318 5217  4  3 92  0  2
 0  0      0 226788   2168 330808    0    0     0     1 4050 4843  3  2 93  0  1
 1  0      0 226940   2168 330808    0    0     0     1 4198 5040  4  4 91  0  1
 0  0      0 226940   2168 330808    0    0     0     1 4644 5366  5  4 90  0  1
 0  0      0 226992   2168 330812    0    0     0     4 4010 5086  4  3 92  0  1
 0  0      0 230260   2168 330812    0    0     0     0 4253 5093  5  3 91  0  1
 2  0      0 229912   2168 330812    0    0     0    25 3938 4922  4  4 91  0  1
 0  0      0 229912   2168 330812    0    0     0     3 4474 5520  5  3 91  0  1
 0  0      0 229600   2168 330812    0    0     0     1 3504 4375  4  3 84  0  8
 0  0      0 219552   2168 330812    0    0     0     1 3528 4484  4  2 89  0  4
 0  0      0 219552   2168 330812    0    0     0     3 3924 4767  5  4 89  0  2
 0  0      0 221924   2168 330816    0    0     0     0 2851 3414  3  2 94  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 233012   2168 330816    0    0     0    11 1445 1853  2  1 97  0  1
