procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 826668  35692 558592    0    0     6   516    7   17  6  1 92  0  2
 0  0      0 823532  35704 566636    0    0     0   163  910  580  5  1 89  0  4
 1  0      0 818716  35712 584068    0    0     0    23 1793 1062 12  2 77  0  9
 0  0      0 783784  35720 614812    0    0     0   206 2835 1640 18  4 65  0 14
 1  0      0 738284  35728 651104    0    0     0    50 3302 1964 23  4 52  0 21
 2  0      0 688248  35736 698064    0    0     0 22959 4169 2365 28  5 46  1 19
 1  0      0 626568  35744 757148    0    0     0  1687 5334 2870 36  5 50  0  9
 1  0      0 573432  35752 808084    0    0     0 24064 4598 2510 30  5 47  1 16
 0  0      0 531864  35760 848236    0    0     0    70 3521 2053 26  4 46  0 24
 1  0      0 490096  35768 888656    0    0     0    48 3406 1990 25  4 47  0 24
 2  0      0 456844  35776 920772    0    0     0 21654 2854 1759 21  4 44  1 30
 2  0      0 422216  35784 954272    0    0     0  2478 2936 1576 22  4 45  0 29
 2  0      0 397616  35788 978496    0    0     0    38 2157 1369 18  3 45  0 35
 1  0      0 347628  35792 1013344    0    0     0    50 3116 1772 22  4 46  0 28
 3  0      0 310644  35796 1049472    0    0     0 14954 3168 1862 22  4 46  1 27
 1  0      0 266120  35800 1092476    0    0     0  8912 3608 2133 25  5 47  0 23
 2  0      0 217772  35804 1139484    0    0     0    64 3801 2242 27  4 49  0 19
 1  0      0 161612  35812 1194468    0    0     0 19505 4373 2578 30  6 48  1 15
 0  0      0  93988  35820 1260376    0    0     0  4360 5117 3063 37  5 51  0  7
 1  0      0  93156  35812 1298712    0    0  2715 12574 5045 3029 40  7 41  4  9
 1  0      0  93200  35376 1306136    0    0     0 11608 5394 3025 36  6 50  1  7
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  94860  35080 1304884    0    0     0 17140 4890 2786 34  6 48  1 12
 1  0      0  90672  34744 1306204    0    0    19  7313 4372 2432 30  5 48  0 17
 1  0      0  89236  34272 1308344    0    0     0 12538 3380 1885 23  4 44  0 28
 1  0      0  91844  34220 1305508    0    0     0 11840 1765  999 13  3 42  1 42
 1  0      0  97312  34044 1302508    0    0     0    43 2577 1605 20  3 46  0 30
 1  0      0  94988  33768 1302160    0    0    27    55 3301 1909 25  4 48  0 23
 0  0      0  93540  33492 1303948    0    0     0 13640 3781 2224 28  5 48  1 19
 3  0      0  89600  33396 1307684    0    0     0 10774 3381 2004 25  4 48  1 22
 2  0      0  88788  33252 1309688    0    0     0 17918 4372 2707 32  6 50  1 12
 1  0      0  97816  33112 1303284    0    0    17  6517 5304 2921 37  6 53  0  4
 2  0      0  90024  32988 1310112    0    0     0 24106 5271 2915 35  7 50  1  7
 1  0      0  97048  32848 1304028    0    0     0   359 4759 2909 34  6 51  0  9
 1  0      0 101640  32696 1300112    0    0     0 24374 5050 2907 35  6 50  1  8
 2  0      0  87096  32640 1312208    0    0     0    90 4752 2790 34  6 51  0  9
 3  0      0  89444  32544 1309136    0    0     0 12182 3590 2059 25  4 47  0 24
 1  0      0  94428  32424 1304332    0    0     0 12261 2081 1290 16  4 43  0 38
 1  0      0  92876  32356 1305604    0    0     0    57 3104 1841 24  4 48  0 24
 0  0      0  94268  32268 1305192    0    0     0 22438 3322 2185 26  5 47  1 21
 1  0      0  88184  32204 1312392    0    0     0  7146 3740 2425 29  5 49  0 16
 1  0      0  97876  31940 1305096    0    0     0 12786 4196 2630 30  5 48  1 15
 0  0      0  92436  31848 1308496    0    0     0    72 3855 2398 29  5 53  0 13
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  97832  31852 1307700    0    0     0    56 2212 1391 15  2 76  0  6
