procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 229876  68348 1143872    0    0     2    12   18    8  6  1 92  0  1
 1  0      0 225504  68348 1143864    0    0     0    16  842  825 12  1 87  0  0
 2  0      0 250092  68348 1143868    0    0     0    11 1703 1503 27  2 71  0  1
 3  0      0 221168  68352 1143872    0    0     0    31 1994 1799 32  3 55  0 10
 0  0      0 256128  68356 1143876    0    0     0   202 2993 2382 45  4 50  0  1
 1  0      0 169048  68356 1144012    0    0     0    17 2845 2346 46  4 48  0  1
 1  0      0 233608  68360 1144020    0    0     0   178 3149 2730 47  5 48  0  1
 2  0      0 178868  68360 1144024    0    0     0    32 2917 2345 46  4 48  0  1
 3  0      0 253024  68364 1144032    0    0     0    12 3197 2616 51  4 44  0  1
 3  0      0 244284  68368 1144040    0    0     0    53 3227 2875 51  4 44  0  1
 1  0      0 245452  68368 1144044    0    0     0    10 3127 2620 49  5 45  0  1
 1  0      0 181000  68368 1144180    0    0     0    10 3172 2662 50  5 45  0  1
 1  0      0 210056  68368 1144188    0    0     0    66 3048 2539 46  4 49  0  1
 0  0      0 196724  68372 1144200    0    0     0    21 3262 2530 51  5 43  0  1
 0  0      0 218200  68372 1144204    0    0     0    13 2935 2473 49  4 45  0  2
 1  0      0 221024  68372 1144204    0    0     0    10 1141 1130 18  2 75  0  5
 1  0      0 168300  68372 1144212    0    0     0    25 2264 2146 36  3 59  0  1
 0  0      0 249364  68372 1144220    0    0     0    12 2871 2263 46  4 49  0  2
 0  0      0 213592  68376 1144220    0    0     0    65 2615 2340 41  4 55  0  1
 2  0      0 186372  68380 1144356    0    0     0    63 3133 2720 48  4 46  0  1
 1  0      0 207340  68380 1144368    0    0     0    16 3542 2779 52  5 42  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 261956  68384 1144372    0    0     0    16 3295 2607 54  5 40  0  1
 1  0      0 249336  68384 1144380    0    0     0    17 3613 2706 54  5 40  0  1
 1  0      0 142436  68384 1144388    0    0     0    49 3248 2483 53  5 41  0  2
 2  0      0 184760  68384 1144396    0    0     0    75 3757 2945 51  5 43  0  1
 2  0      0 215956  67852 1129112    0    0    14    28 3418 2747 51  5 43  0  1
 1  0      0 217864  67852 1129184    0    0     0    13 3353 2716 52  5 41  0  3
 0  0      0 261776  67852 1129192    0    0     1    14 1976 1608 33  3 49  0 15
 1  0      0 206344  67852 1129200    0    0     0    14 3192 2475 45  5 49  0  2
 0  0      0 240252  67852 1129204    0    0     0    50 3447 2910 50  5 45  0  1
 1  0      0 177208  67852 1129216    0    0     0    89 3415 2778 52  4 43  0  1
 1  0      0 232160  67852 1129352    0    0     0    25 3368 2691 51  5 43  0  2
 1  0      0 251388  67852 1129360    0    0     0     9 3609 2797 51  5 44  0  1
 2  0      0 182920  67852 1129364    0    0     0    10 3819 2662 53  5 40  0  1
 1  0      0 157872  67856 1129368    0    0     0    10 3682 3042 52  5 42  0  1
 1  0      0 140844  67856 1129380    0    0     0    32 3688 3030 49  4 46  0  1
 2  0      0 257692  67856 1129388    0    0     0    72 3409 2749 52  4 42  0  2
 2  0      0 216336  67856 1129520    0    0     0     0 3412 2702 53  5 41  0  2
 2  0      0 129324  67860 1129528    0    0     0    26 2902 2256 44  5 49  0  2
 1  0      0 252396  67860 1129532    0    0     0    12  908  821 16  1 71  0 11
 0  0      0 247984  67864 1129536    0    0     0     6 1600 1428 23  2 75  0  0
 0  0      0 255784  67864 1129540    0    0     0     6 1680 1618 23  2 75  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 253640  67868 1129540    0    0     0    27 1859 1579 26  2 71  0  1
