procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 1028272  55756 451556    0    0     6   509    7   11  6  1 92  0  1
 0  0      0 1027644  55768 452156    0    0     0   372  245  310  1  0 99  0  0
 0  0      0 1026972  55768 453552    0    0     0    24  413  485  1  1 98  0  0
 0  0      0 1026748  55768 455576    0    0     0   207  598  708  2  1 97  0  0
 0  0      0 1025600  55776 458360    0    0     0   628  839  974  2  1 96  0  0
 0  0      0 1025600  55784 462236    0    0     0    69 1046 1253  4  1 93  0  1
 1  0      0 1025376  55792 467420    0    0     0    82 1276 1564  5  1 94  0  1
 0  0      0 1024480  55800 472988    0    0     0   134 1383 1679  5  2 93  0  1
 0  0      0 1021708  55808 477712    0    0     0   317 1269 1521  6  2 86  0  7
 0  0      0 1019188  55816 483240    0    0     0   437 1403 1715  5  2 90  0  4
 0  0      0 1017172  55816 488288    0    0     0   694 1395 1698  5  2 93  0  1
 0  0      0 1014148  55816 493940    0    0     0  1098 1471 1725  5  2 92  0  1
 0  0      0 1010620  55824 499384    0    0     0  1075 1438 1705  5  2 93  0  1
 0  0      0 1005888  55828 504868    0    0     0  1241 1465 1738  5  2 92  0  1
 1  0      0 1001632  55836 510480    0    0     0  1105 1457 1733  6  2 92  0  1
 0  0      0 996844  55836 515548    0    0     0  1106 1415 1630  4  2 93  0  1
 0  0      0 991048  55836 520944    0    0     0  1334 1452 1708  5  2 92  0  1
 0  0      0 986008  55844 526560    0    0     0  1563 1459 1723  5  2 92  0  1
 1  0      0 980212  55848 532044    0    0     0  1240 1475 1735  5  2 92  0  1
 0  0      0 974164  55852 538164    0    0     0  1146 1592 1880  5  2 93  0  1
 0  0      0 967120  55860 544836    0    0     0  1238 1786 2073  8  3 82  0  8
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 958300  55868 553500    0    0     0  1242 2233 2560  7  2 89  0  1
 0  0      0 948472  55872 563276    0    0     0  1394 2470 2910  7  3 88  0  1
 0  0      0 936628  55876 574716    0    0     0  1814 2749 3258  9  4 85  0  2
 0  0      0 924280  55876 587168    0    0     0  1318 2962 3578 10  5 83  0  2
 3  0      0 910672  55880 600540    0    0     0  1447 3090 3807 12  4 80  0  3
 0  0      0 897064  55880 614168    0    0     0   211 3059 3829 11  5 83  0  2
 1  0      0 882560  55892 627960    0    0     0  1584 3067 3825 11  4 83  0  2
 0  0      0 866572  55892 641860    0    0     0  1930 3128 3827 12  3 83  0  1
 0  0      0 852572  55904 656360    0    0     2  2492 3176 3883 11  4 83  0  2
 0  0      0 837592  55912 670292    0    0     0  2542 3166 3870 12  3 83  0  2
 1  0      0 823564  55916 684104    0    0     0  3790 3164 3875 10  4 84  0  1
 2  0      0 810544  55920 696156    0    0     0  2974 2786 3422 10  4 76  0 10
 0  0      0 797300  55924 708988    0    0     0  2990 2971 3571 13  4 76  0  7
 0  0      0 782292  55936 722912    0    0     0  2950 3187 3887 10  4 84  0  2
 0  0      0 767508  55944 736788    0    0     0  3258 3224 3892 10  4 84  0  1
 0  0      0 753508  55952 750664    0    0     0  3001 3240 3902 12  4 83  0  2
 0  0      0 739536  55964 763716    0    0     0  2984 3044 3676 11  4 84  0  2
 0  0      0 727552  55968 775052    0    0     0  4012 2701 3267  9  3 86  1  2
 0  0      0 717556  55976 784388    0    0     0  2357 2220 2658  7  3 89  0  2
 0  0      0 708960  55984 791332    0    0     0  2905 1773 2109  7  2 89  0  1
 0  0      0 703360  55992 795624    0    0     0  3065 1152 1377  4  1 95  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 699888  56000 797560    0    0     0  2870  629  766  2  1 97  0  0
