procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 435092   2168 322180    0    0     1    11   32  121  0  0 99  0  0
 0  0      0 419972   2168 322184    0    0     0     5  448  673  2  0 98  0  0
 0  0      0 418460   2168 322184    0    0     0     8  591 1009  0  0 100  0  0
 0  0      0 416696   2168 322184    0    0     0     1  728 1236  1  0 99  0  0
 0  0      0 415184   2168 322184    0    0     0     1  880 1505  0  0 99  0  0
 0  0      0 414680   2168 322188    0    0     0     1 1008 1712  1  0 99  0  0
 2  0      0 413420   2168 322188    0    0     0     2 1184 1982  1  0 98  0  0
 0  0      0 412412   2168 322188    0    0     0     1 1285 2163  1  1 98  0  0
 0  0      0 411908   2168 322188    0    0     0    29 1208 2051  1  1 97  0  1
 0  0      0 410144   2168 322188    0    0     0     1 1256 2103  1  1 98  0  1
 0  0      0 409892   2168 322188    0    0     0     1 1255 2125  0  1 98  0  1
 0  0      0 404348   2168 322188    0    0     0     7 1310 2211  1  1 97  0  1
 0  0      0 404348   2168 322192    0    0     0     2 1296 2198  1  0 98  0  1
 0  0      0 404348   2168 322192    0    0     0     1 1229 2056  1  0 98  0  1
 3  0      0 404096   2168 322192    0    0     0     6 1278 2145  1  1 98  0  0
 0  0      0 403340   2168 322192    0    0     0     1 1305 2192  2  1 98  0  0
 0  0      0 402836   2168 322192    0    0     0     1 1231 2047  1  0 98  0  0
 0  0      0 401072   2168 322192    0    0     0   379 1278 2156  1  1 97  0  0
 0  0      0 400820   2168 322192    0    0     0     1 1266 2106  1  0 98  0  1
 0  0      0 395024   2168 322196    0    0     0     2 1392 2270  2  1 97  0  0
 0  0      0 394016   2168 322196    0    0     0    24 1596 2660  2  1 95  0  2
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 393016   2168 322196    0    0     0     3 1707 2821  1  1 97  0  1
 0  0      0 388228   2168 322196    0    0     0     1 1889 3088  3  1 96  0  1
 0  0      0 388228   2168 322196    0    0     0     1 1804 2965  2  1 96  0  1
 0  0      0 383692   2168 322196    0    0     0     1 1804 2946  2  1 96  0  1
 0  0      0 382432   2168 322196    0    0     0     1 1818 3036  2  1 96  0  1
 0  0      0 382180   2168 322200    0    0     0     7 1727 2888  2  1 96  0  0
 0  0      0 377644   2168 322200    0    0     0     4 1739 2886  2  1 97  0  1
 0  0      0 375124   2168 322200    0    0     0     1 1741 2856  2  0 97  0  1
 0  0      0 375124   2168 322200    0    0     0     1 1690 2794  2  0 98  0  0
 0  0      0 374620   2168 322200    0    0     0     1 1703 2819  2  1 97  0  1
 0  0      0 368068   2168 322200    0    0     0     1 1793 2968  2  1 97  0  1
 0  0      0 367312   2168 322200    0    0     0     3 1496 2518  3  1 94  0  3
 0  0      0 367312   2168 322204    0    0     0     2 1708 2863  2  1 96  0  1
 0  0      0 367312   2168 322208    0    0     0     3 1669 2793  2  0 98  0  1
 0  0      0 360532   2168 322380    0    0     0     1 1800 3007  2  2 96  0  1
 0  0      0 359776   2168 322380    0    0     0     3 1748 2896  2  0 97  0  1
 0  0      0 359776   2168 322380    0    0     0     1 1750 2904  2  1 96  0  1
 0  0      0 359776   2168 322380    0    0     0     3 1733 2863  1  1 97  0  1
 0  0      0 359020   2168 322384    0    0     0     1 1716 2843  1  0 98  0  0
 0  0      0 353224   2168 322384    0    0     0     5 1524 2500  1  1 98  0  1
 1  0      0 351712   2168 322384    0    0     0   408 1117 1866  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 351712   2168 322384    0    0     0     1  641 1124  0  0 99  0  0
