procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 410364   2168 319148    0    0     1    11  175   29  0  0 99  0  0
 0  0      0 398520   2168 319152    0    0     0     3  466  710  2  0 98  0  0
 0  0      0 397512   2168 319152    0    0     0    24  557  947  0  0 99  0  0
 0  0      0 396756   2168 319156    0    0     0     3  711 1233  1  0 99  0  0
 0  0      0 396252   2168 319156    0    0     0     1  881 1512  1  0 98  0  0
 0  0      0 395496   2168 319156    0    0     0     1 1016 1734  1  1 98  0  0
 0  0      0 395244   2168 319156    0    0     0     1 1142 1929  1  1 98  0  0
 0  0      0 394488   2168 319160    0    0     0     1 1275 2161  1  0 98  0  0
 3  0      0 393480   2168 319160    0    0     0    29 1265 2141  1  0 98  0  0
 0  0      0 393228   2168 319160    0    0     0     1 1286 2196  1  0 98  0  0
 0  0      0 392472   2168 319160    0    0     0     0 1277 2169  1  1 98  0  0
 0  0      0 392472   2168 319164    0    0     0     4 1222 2080  1  0 98  0  0
 0  0      0 389952   2168 319164    0    0     0     1 1249 2141  2  0 95  0  3
 0  0      0 389952   2168 319164    0    0     0     1 1248 2091  1  1 98  0  1
 0  0      0 389700   2168 319164    0    0     0     6 1220 2060  2  1 98  0  0
 0  0      0 385176   2168 319164    0    0     0     1 1328 2257  1  1 97  0  0
 0  0      0 385176   2168 319164    0    0     0   378 1311 2268  1  1 98  0  0
 0  0      0 385176   2168 319168    0    0     0     3 1303 2212  1  0 99  0  0
 0  0      0 384168   2168 319168    0    0     0     2 1300 2197  2  1 97  0  0
 0  0      0 384168   2168 319168    0    0     0     1 1403 2357  1  1 98  0  0
 0  0      0 381648   2168 319168    0    0     0     4 1665 2769  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 379632   2168 319168    0    0     0     3 1838 3035  2  0 97  0  1
 0  0      0 378624   2168 319168    0    0     0     0 1910 3151  1  1 98  0  1
 0  0      0 374844   2168 319168    0    0     0     1 1961 3246  2  1 97  0  1
 0  0      0 374340   2168 319172    0    0     0     3 1694 2804  1  1 96  0  2
 0  0      0 370056   2168 319172    0    0     0     2 1796 2984  2  1 97  0  1
 0  0      0 368040   2168 319172    0    0     0    34 1857 3077  2  1 96  0  1
 0  0      0 368040   2168 319172    0    0     0     3 1872 3121  1  1 98  0  0
 0  0      0 363756   2168 319172    0    0     0     0 1836 3075  2  1 97  0  1
 0  0      0 360732   2168 319172    0    0     0     1 1902 3149  2  1 96  0  1
 3  0      0 360732   2168 319172    0    0     0     3 1919 3213  1  1 97  0  1
 0  0      0 360228   2168 319176    0    0     0     2 1898 3185  1  1 98  0  1
 0  0      0 353172   2168 319176    0    0     0     4 1933 3206  2  1 97  0  1
 0  0      0 352416   2168 319176    0    0     0     3 1833 3067  3  0 96  0  1
 0  0      0 352416   2168 319176    0    0     0     0 1827 3060  2  1 97  0  1
 0  0      0 352416   2168 319176    0    0     0     1 1713 2840  2  1 96  0  1
 0  0      0 346872   2168 319176    0    0     0     1 1691 2842  2  1 93  0  4
 0  0      0 344856   2168 319176    0    0     0     2 1702 2816  3  1 95  0  1
 0  0      0 344856   2168 319180    0    0     0     5 1784 2984  1  1 97  0  1
 0  0      0 341328   2168 319192    0    0     0     1 1865 3109  2  2 96  0  1
 0  0      0 341328   2168 319192    0    0     0   362 1528 2570  1  1 98  0  1
 0  0      0 339816   2168 319192    0    0     0     1 1100 1834  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 337044   2168 319192    0    0     0     1  650 1114  1  0 98  0  0
