procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 237360  69924 973728    0    0     2    11   11    3  6  1 92  0  1
 2  0      0 282896  69924 973780    0    0     0   316 1219 1149 21  1 77  0  1
 1  0      0 367200  69924 973784    0    0     0    41 2445 1796 49  3 46  0  2
 3  0      0 357656  69924 973720    0    0     0    12 3500 2273 64  6 29  0  1
 2  0      0 234020  69924 973800    0    0     0   210 3015 2381 62  6 31  0  1
 1  0      0 345576  69928 973792    0    0     0    13 3181 2413 64  5 30  0  1
 1  0      0 299888  69932 973796    0    0     0    13 3270 2234 65  6 29  0  1
 1  0      0 362436  69932 973800    0    0     0    21 3107 2141 66  5 29  0  0
 1  0      0 363464  69932 973804    0    0     0    59 3295 2426 61  5 32  0  1
 2  0      0 371640  69932 973808    0    0     0    48 3036 2248 63  5 31  0  1
 3  0      0 301560  69932 973812    0    0     0    11 3316 2358 62  6 31  0  1
 1  0      0 203036  69932 973816    0    0     0    11 3517 2812 59  5 35  0  1
 2  0      0 222020  69932 973820    0    0     0    11 2687 2117 43  3 36  0 18
 2  0      0 293708  69932 973952    0    0     0    16 3606 2826 59  5 36  0  1
 1  0      0 174784  69932 973952    0    0     0    61 3274 2439 59  4 36  0  1
 1  0      0 323268  69932 973960    0    0     0    34 3516 2648 65  5 30  0  0
 4  0      0 277764  69932 973960    0    0     0    43 3264 2389 60  5 34  0  1
 1  0      0 278932  69932 973896    0    0     0    11 3119 2293 62  4 33  0  1
 2  0      0 236152  69932 973968    0    0     0    11 3454 2688 63  4 33  0  0
 1  0      0 242584  69932 973972    0    0     0     6 3478 2420 64  4 31  0  1
 2  0      0 232164  69932 973980    0    0     0    12 3186 2194 61  5 33  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 300236  69932 973980    0    0     0    14 3637 2571 60  5 35  0  1
 1  0      0 282616  69932 973988    0    0     0    65 3310 2341 63  5 31  0  1
 2  0      0 277104  69932 973988    0    0     0    39 3024 2350 65  4 30  0  1
 1  0      0 363252  69936 973992    0    0     0    14 2757 1789 50  5 29  0 16
 2  0      0 209632  69940 974108    0    0     0    14 3070 2190 62  5 32  0  1
 1  0      0 126148  69940 974112    0    0     0    12 3238 2510 62  5 32  0  2
 1  0      0 287412  69420 970360    0    0    24    15 3461 2370 60  5 34  0  1
 1  0      0 342248  69420 970404    0    0     0    58 3365 2271 66  5 29  0  1
 2  0      0 168988  69420 970404    0    0     0    16 3375 2292 61  6 32  0  1
 2  0      0 360316  69420 970436    0    0     0    78 3798 2574 58  6 34  0  2
 1  0      0 271872  69420 970432    0    0     0    14 3173 2274 60  5 34  0  2
 1  0      0 127248  69420 970432    0    0     0    12 3145 2622 62  5 33  0  1
 1  0      0 275796  69420 970440    0    0     0    10 3259 2469 61  5 34  0  1
 1  0      0 230184  69420 970440    0    0     0    14 3697 2689 60  4 35  0  1
 1  0      0 364896  69420 970444    0    0     0    10 3365 2396 59  4 35  0  2
 1  0      0 278004  69420 970448    0    0     0    66 2671 2123 52  5 35  0  8
 1  0      0 305232  69420 970580    0    0     0    39 3511 2469 64  6 30  0  1
 0  0      0 293668  69420 970588    0    0     0    17 2980 2411 62  5 33  0  1
