procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 430512   2168 327200    0    0     1    11  118   73  1  0 99  0  0
 0  0      0 410352   2168 327204    0    0     0     2  537  817  2  1 97  0  0
 0  0      0 402540   2168 327204    0    0     0     3  831 1300  1  1 98  0  0
 0  0      0 397500   2168 327208    0    0     0     3 1182 1729  2  0 97  0  1
 0  0      0 388176   2168 327208    0    0     0     2 1619 2203  2  2 95  0  1
 0  0      0 380388   2168 327208    0    0     0     1 1987 2705  2  1 96  0  1
 0  0      0 378372   2168 327208    0    0     0   370 2255 3021  2  1 96  0  1
 0  0      0 376608   2168 327208    0    0     0     1 2763 3473  3  2 94  0  1
 0  0      0 372828   2168 327208    0    0     0     1 2708 3621  2  2 95  0  1
 0  0      0 364496   2168 327208    0    0     0    50 2447 3283  2  1 94  0  2
 0  0      0 360968   2168 327212    0    0     0     1 2710 3515  3  2 94  0  1
 0  0      0 359960   2168 327216    0    0     0     2 2808 3559  2  2 96  0  1
 0  0      0 357692   2168 327216    0    0     0     4 2829 3622  3  2 95  0  1
 0  0      0 357440   2168 327216    0    0     0     1 2890 3642  3  1 95  0  1
 0  0      0 356180   2168 327216    0    0     0     1 2803 3598  3  2 95  0  1
 0  0      0 352400   2168 327216    0    0     0    10 2772 3611  3  2 94  0  1
 0  0      0 352128   2168 327216    0    0     0     1 2812 3628  2  2 96  0  1
 0  0      0 351524   2168 327220    0    0     0     1 2808 3525  3  2 95  0  1
 0  0      0 351272   2168 327220    0    0     0     2 2957 3677  3  1 96  0  1
 0  0      0 348500   2168 327220    0    0     0     3 3114 3894  3  2 94  0  1
 0  0      0 341408   2168 327220    0    0     0     1 3512 4605  3  3 91  0  3
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 331076   2168 327220    0    0     0     6 3676 4693  4  3 88  0  5
 2  0      0 321252   2168 327220    0    0     0     3 4564 5794  5  3 90  0  3
 1  0      0 309156   2168 327224    0    0     0     1 5033 6390  4  4 90  0  2
 3  0      0 306860   2168 327224    0    0     0     2 5150 6452  4  4 91  0  2
 0  0      0 305156   2168 327224    0    0     0     2 4471 5855  5  3 91  0  2
 0  0      0 298352   2168 327224    0    0     0     1 5188 6395  4  3 91  0  2
 0  0      0 292808   2168 327224    0    0     0     3 4763 6243  5  4 89  0  2
 3  0      0 292304   2168 327224    0    0     0     2 4789 6208  3  4 91  0  2
 0  0      0 290036   2168 327224    0    0     0     1 4834 5971  5  3 89  0  2
 0  0      0 289804   2168 327224    0    0     0   361 4687 5732  5  3 90  0  2
 0  0      0 286024   2168 327228    0    0     0     2 4374 5619  5  3 90  0  2
 0  0      0 285516   2168 327228    0    0     0     3 4473 5653  5  3 89  0  3
 0  0      0 283248   2168 327228    0    0     0     0 3881 4994  5  3 87  0  6
 0  0      0 277956   2168 327228    0    0     0    28 4644 5714  6  3 88  0  2
 0  0      0 276948   2168 327228    0    0     0     3 4560 5763  5  4 88  0  2
 0  0      0 274176   2168 327228    0    0     0     7 5229 6238  6  4 88  0  2
 4  0      0 273672   2168 327228    0    0     0     1 4462 5575  4  4 89  0  2
 0  0      0 273428   2168 327232    0    0     0     4 4865 6201  5  3 91  0  2
 0  0      0 265884   2168 327232    0    0     0     2 4658 5625  5  3 91  0  1
 0  0      0 265680   2168 327232    0    0     0     7 3407 4244  3  2 94  0  1
 0  0      0 265708   2168 327232    0    0     0     3 2427 3025  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 265708   2168 327232    0    0     0     1 1189 1643  1  0 98  0  0
