procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  94204  69400 1227188    0    0     2    12    7   12  6  1 93  0  1
 0  0      0  93532  69404 1227204    0    0     0    14  260  318  1  0 98  0  0
 0  0      0  93084  69404 1227204    0    0     0    15  486  554  3  0 95  0  1
 0  0      0  92636  69404 1227216    0    0     0   225  823  938  6  1 93  0  0
 0  0      0  91964  69404 1227224    0    0     0    18 1061 1194  8  1 89  0  1
 1  0      0  91068  69404 1227364    0    0     0   146 1285 1459  9  2 88  0  1
 0  0      0  91068  69404 1227380    0    0     0    12 1439 1580 11  2 86  0  1
 0  0      0  91068  69404 1227400    0    0     0    12 1572 1767 12  2 84  0  2
 0  0      0  91068  69404 1227540    0    0     0     5 1566 1781 13  2 83  0  2
 0  0      0  89948  69404 1227560    0    0     0   128 1640 1836 11  2 85  0  1
 0  0      0  87484  69404 1227580    0    0     0     5 1692 1886 13  3 82  0  2
 0  0      0  87484  69404 1227720    0    0     0     5 1725 1919 13  2 84  0  1
 0  0      0  87484  69404 1227740    0    0     0     5 1741 1914 12  2 84  0  1
 2  0      0 106244  69360 1227296    0    0     1     7 1447 1626 12  2 78  0  9
 1  0      0 105572  69360 1227312    0    0     0     5 1703 1866 13  2 80  0  4
 0  0      0 105096  69360 1227328    0    0     0   158 1777 1943 13  2 82  0  3
 0  0      0 104424  69364 1227472    0    0     0    13 1771 1931 12  3 83  0  2
 0  0      0 103752  69364 1227496    0    0     0     5 1750 1912 13  2 83  0  1
 0  0      0 102380  69364 1227640    0    0     0    95 1781 1941 12  2 85  0  1
 0  0      0 102380  69368 1227656    0    0     0    13 1915 2093 13  3 83  0  1
 0  0      0  99692  69372 1227676    0    0     0    14 2274 2474 17  3 79  0  2
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  98348  69372 1227832    0    0     0    14 2622 2810 19  3 76  0  1
 0  0      0  96556  69372 1228000    0    0     0    14 2977 3255 23  4 70  0  2
 1  0      0  94092  69372 1228160    0    0     0    12 3070 3390 24  3 70  0  2
 0  0      0  93196  69372 1228196    0    0     0   208 3062 3394 24  3 70  0  2
 1  0      0  92944  69372 1228348    0    0     0    42 2663 2974 21  4 66  0  9
 0  0      0  92944  69372 1228508    0    0     0     5 2900 3230 23  4 68  0  5
 0  0      0  92692  69372 1228540    0    0     0     5 3021 3373 23  4 70  0  2
 1  0      0  92692  69372 1228700    0    0     0     5 3060 3407 22  5 71  0  2
 0  0      0  92440  69376 1228864    0    0     0     5 3079 3397 23  4 71  0  2
 1  0      0  92956  69376 1228980    0    0     0   239 3033 3390 23  4 71  0  2
 1  0      0  94504  69376 1229056    0    0     0     5 3100 3400 23  4 71  0  2
 0  0      0  95564  69376 1229224    0    0     0    11 3050 3414 23  4 70  0  2
 0  0      0  95068  69376 1229488    0    0     0     5 3061 3376 24  4 70  0  2
 1  0      0  95760  69376 1229772    0    0     0     5 2992 3368 24  4 69  0  3
 0  0      0  95392  69376 1229936    0    0     0   206 3055 3346 23  5 69  0  3
 0  0      0  95536  69376 1229968    0    0     0    10 3068 3384 22  4 71  0  2
 1  0      0  94024  69376 1230128    0    0     0    10 2717 3017 22  3 67  0  8
 0  0      0  94368  69376 1230284    0    0     0    10 2831 3137 22  3 70  0  4
 0  0      0  94372  69376 1230312    0    0     0    12 2466 2692 19  3 76  0  2
 0  0      0  93756  69376 1230456    0    0     0    13 1930 2108 14  2 82  0  2
 0  0      0  94116  69376 1230472    0    0     0   205 1290 1433 10  1 86  0  3
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  93704  69376 1230476    0    0     0    39  544  614  4  1 95  0  0
