procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 391752  73164 1065484    0    0     2    11    4   14  6  1 93  0  1
 0  0      0 391752  73172 1065544    0    0     0   407  311  311  1  0 98  0  0
 1  0      0 391752  73172 1065676    0    0     0    42  353  471  1  0 97  0  1
 0  0      0 391752  73172 1065688    0    0     0    19  606  833  3  1 97  0  0
 0  0      0 391528  73172 1065696    0    0     0    10  642  898  3  1 96  0  0
 0  0      0 391528  73172 1065708    0    0     0     6  797 1095  3  1 96  0  0
 0  0      0 391528  73172 1065852    0    0     0     0  936 1278  5  1 94  0  0
 0  0      0 391528  73172 1065996    0    0     0    89 1057 1449  4  1 95  0  0
 0  0      0 391528  73172 1066012    0    0     0    12 1129 1585  5  1 93  0  0
 0  0      0 391528  73172 1066160    0    0     0     6 1174 1637  6  1 93  0  0
 0  0      0 391528  73172 1066180    0    0     0     6 1102 1522  5  1 93  0  0
 0  0      0 391528  73172 1066324    0    0     0     6 1057 1455  4  1 94  0  0
 0  0      0 391528  73172 1066340    0    0     0     6 1043 1442  4  1 94  0  0
 0  0      0 391080  73172 1066360    0    0     0   147 1124 1555  5  1 93  0  1
 0  0      0 390856  73172 1066500    0    0     0    19 1172 1545  6  1 86  0  7
 0  0      0 390856  73172 1066520    0    0     0     6 1223 1627  5  1 93  0  0
 0  0      0 390184  73172 1066540    0    0     0     6 1216 1609  5  1 93  0  1
 0  0      0 390184  73172 1066684    0    0     0     6 1142 1517  5  1 94  0  0
 0  0      0 390184  73172 1066704    0    0     0     6 1136 1517  5  1 93  0  0
 0  0      0 390184  73172 1066848    0    0     0   130 1307 1739  5  2 92  0  0
 0  0      0 389960  73176 1066876    0    0     0    21 1581 2096  7  1 91  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 389288  73176 1067032    0    0     0    15 1833 2468  8  2 90  0  1
 0  0      0 388616  73176 1067192    0    0     0     6 2026 2748  9  2 88  0  1
 0  0      0 387272  73180 1067228    0    0     0     6 2223 3024 11  2 87  0  1
 0  0      0 385928  73180 1067396    0    0     0   197 2490 3415 11  2 85  0  1
 0  0      0 385928  73180 1067568    0    0     0    11 2557 3532 11  3 84  0  2
 0  0      0 385928  73180 1067920    0    0     0     8 2134 2928 11  3 80  0  6
 0  0      0 385704  73180 1068092    0    0     0     6 2570 3597 11  3 85  0  1
 0  0      0 385480  73180 1068264    0    0     0     6 2598 3620 11  3 85  0  1
 0  0      0 384584  73180 1068436    0    0     0     6 2585 3600 11  3 85  0  1
 0  0      0 383912  73180 1068608    0    0     0   309 2583 3625 12  3 84  0  1
 0  0      0 382792  73180 1068860    0    0     0    20 2567 3571 11  3 84  0  1
 0  0      0 381896  73180 1069080    0    0     0     6 2571 3581 12  3 84  0  1
 1  0      0 381448  73180 1069248    0    0     0     6 2593 3594 12  3 84  0  1
 0  0      0 381448  73180 1069552    0    0     0     6 2571 3570 12  3 84  0  1
 1  0      0 381224  73180 1069852    0    0     0     6 2606 3608 11  3 85  0  1
 0  0      0 380104  73180 1070148    0    0     0     6 2605 3591 11  3 85  0  1
 2  0      0 379936  73180 1070704    0    0     0   312 2405 3294 12  3 83  0  3
 2  0      0 379544  73184 1070864    0    0     0     6 1858 2480  9  2 85  0  4
 0  0      0 379488  73184 1071016    0    0     0    11 1671 2272  7  2 90  0  1
 0  0      0 379320  73184 1071164    0    0     0     6 1254 1692  5  1 94  0  0
 0  0      0 379096  73188 1071432    0    0     0     6  881 1178  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 379152  73188 1071436    0    0     0     6  373  503  1  0 98  0  0
