procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 563948  86340 646756    0    0     5   506   12    1  6  1 92  0  2
 0  0      0 562604  86344 647960    0    0     0   306  292  317  1  0 99  0  0
 0  0      0 560812  86344 650560    0    0     0    22  492  510  2  1 97  0  0
 0  0      0 558124  86344 654700    0    0     0    32  730  744  3  1 96  0  0
 0  0      0 557676  86344 660404    0    0     0   231 1029 1028  4  1 95  0  0
 0  0      0 557676  86348 667788    0    0     0    63 1223 1226  5  1 93  0  1
 0  0      0 551040  86356 677768    0    0     0   598 1535 1627  6  2 90  0  1
 1  0      0 536984  86360 689176    0    0     0   330 1726 1822  7  2 90  0  1
 0  0      0 522508  86360 700632    0    0     0   602 1738 1818  7  2 90  0  1
 0  0      0 509628  86360 711084    0    0     0   916 1632 1690  6  2 91  0  1
 0  0      0 497532  86364 721440    0    0     0    90 1653 1707  6  1 92  0  1
 0  0      0 484036  86368 732076    0    0     0  1230 1699 1729  7  2 91  0  1
 1  0      0 473200  86368 742796    0    0     0  1705 1685 1808  8  3 78  0 11
 0  0      0 461104  86368 753752    0    0     0  2376 1732 1816  7  2 87  0  3
 0  0      0 450576  86368 764804    0    0     0  2657 1796 1864  7  2 90  0  1
 0  0      0 438592  86368 775996    0    0     0  2159 1787 1874  7  2 89  0  2
 0  0      0 426328  86368 787348    0    0     0  2265 1798 1853  8  2 89  0  2
 2  0      0 415492  86368 797736    0    0     0  2510 1728 1782  8  2 88  0  2
 0  0      0 404404  86368 808748    0    0     0  2402 1782 1818  7  2 89  0  2
 0  0      0 392308  86372 820460    0    0     0  2290 1941 1951  8  2 89  0  1
 0  0      0 377188  86376 835176    0    0     0  2270 2358 2385  9  2 87  0  2
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 359548  86376 852496    0    0     0  2739 2706 2751 10  4 84  0  2
 0  0      0 339640  86376 872372    0    0     0  2446 2989 3079 12  4 82  0  2
 0  0      0 316960  86380 894932    0    0     0  2470 3318 3443 13  5 79  0  3
 0  0      0 299068  86384 912084    0    0     0 10489 2680 2871 13  4 62  1 20
 0  0      0 274120  86388 936484    0    0     0 11442 3601 3813 16  5 74  1  4
 2  0      0 249732  86388 961360    0    0     0   184 3529 3641 15  5 77  0  3
 0  0      0 224308  86388 986400    0    0     0   181 3559 3706 14  5 79  0  2
 0  0      0 198128  86388 1012280    0    0     0 14626 3837 3981 14  5 78  1  2
 0  0      0 172200  86388 1037816    0    0     0  7306 3819 3870 15  5 77  0  2
 0  0      0 146048  86388 1063604    0    0     0   300 3755 3805 16  5 77  0  3
 0  0      0 120848  86388 1088968    0    0     0   192 3747 3762 14  6 78  0  2
 0  0      0  93940  86392 1114892    0    0     0 17306 3921 4001 15  4 78  1  2
 0  0      0  95476  86372 1138848    0    0     0  4568 3717 3755 15  4 78  0  3
 0  0      0  94672  86368 1140400    0    0     0   213 3723 3722 15  4 79  0  2
 0  0      0  91352  86368 1142568    0    0     0   209 3824 3798 15  4 79  0  2
 0  0      0  99088  86368 1136712    0    0     0   210 2724 2704 13  4 64  0 19
 0  0      0  99700  86272 1136468    0    0     0 14689 3566 3630 16  6 71  1  7
 0  0      0  87860  86156 1146424    0    0     0  7605 3221 3280 15  5 73  0  6
 0  0      0  94260  85912 1140440    0    0     0   171 2594 2710 14  3 80  0  3
 0  0      0  93144  85808 1142260    0    0     0   144 2078 2132  9  3 84  0  3
 0  0      0  94868  85704 1138952    0    0     0   113 1368 1411  6  2 88  0  4
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  90864  85708 1143288    0    0     0    72  742  783  4  1 93  0  2
