procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 444060  73076 1029616    0    0     2    11    3   13  6  1 93  0  1
 0  0      0 444060  73076 1029628    0    0     0    23  230  302  0  0 99  0  0
 1  0      0 444060  73076 1029632    0    0     0   296  459  532  1  0 98  0  0
 0  0      0 443836  73076 1029640    0    0     0     6  532  698  2  0 95  0  2
 0  0      0 443688  73076 1029776    0    0     0     6  790 1029  4  1 94  0  2
 0  0      0 443504  73076 1029792    0    0     0     2  867 1155  3  1 95  0  0
 0  0      0 443312  73076 1029808    0    0     0    73  973 1319  4  1 95  0  0
 0  0      0 443184  73076 1029952    0    0     0    22 1018 1413  4  1 94  0  0
 0  0      0 443040  73076 1029972    0    0     0    80 1096 1536  5  1 93  0  1
 0  0      0 443852  73076 1030116    0    0     0    11 1176 1645  5  2 93  0  0
 0  0      0 444028  73076 1030132    0    0     0     6 1098 1537  5  1 93  0  1
 0  0      0 443876  73076 1030152    0    0     0     6 1021 1425  4  1 94  0  0
 0  0      0 443572  73076 1030296    0    0     0    97 1026 1422  5  1 93  0  1
 0  0      0 443492  73076 1030312    0    0     0     6 1080 1502  5  1 94  0  0
 1  0      0 443304  73076 1030332    0    0     0     6 1168 1615  5  1 93  0  0
 2  0      0 443188  73076 1030476    0    0     0     6 1038 1421  5  1 91  0  3
 0  0      0 443152  73076 1030496    0    0     0     6 1208 1610  6  1 92  0  1
 0  0      0 442976  73076 1030640    0    0     0     6 1206 1596  4  1 94  0  0
 0  0      0 442592  73076 1030656    0    0     0   143 1125 1506  4  1 95  0  0
 0  0      0 442340  73076 1030676    0    0     0    12 1304 1733  5  2 93  0  0
 0  0      0 442628  73076 1030828    0    0     0     6 1559 2072  5  2 92  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 442408  73076 1030984    0    0     0     6 1807 2446  8  2 90  0  1
 0  0      0 441960  73076 1031020    0    0     0     6 2033 2799  9  3 87  0  1
 0  0      0 441756  73076 1031312    0    0     0     6 2190 3008 10  3 86  0  1
 1  0      0 441460  73076 1031480    0    0     0   210 2480 3393 10  3 86  0  1
 0  0      0 440644  73076 1031652    0    0     0     6 2578 3575 12  3 85  0  1
 0  0      0 440424  73076 1031824    0    0     0    12 2611 3603 11  3 86  0  1
 1  0      0 440128  73076 1031992    0    0     0     6 2353 3228 11  3 79  0  7
 1  0      0 439796  73076 1032160    0    0     0     6 2452 3369 12  3 82  0  2
 0  0      0 439688  73076 1032336    0    0     0     6 2596 3596 11  3 85  0  1
 0  0      0 439400  73076 1032504    0    0     0   302 2576 3608 11  3 86  0  1
 0  0      0 439384  73076 1032676    0    0     0     6 2570 3588 11  3 86  0  1
 0  0      0 438864  73076 1032848    0    0     0    13 2586 3576 11  3 85  0  1
 0  0      0 439448  73076 1033020    0    0     0     6 2609 3603 11  3 85  0  1
 0  0      0 439036  73076 1033192    0    0     0     6 2614 3606 10  3 86  0  1
 0  0      0 439036  73076 1033364    0    0     0     6 2588 3575 11  3 84  0  1
 0  0      0 439036  73076 1033536    0    0     0   308 2599 3572 12  3 84  0  1
 1  0      0 439036  73076 1033580    0    0     0    11 2513 3434 11  4 84  0  1
 0  0      0 438784  73076 1033740    0    0     0     6 2163 2922 10  2 87  0  1
 0  0      0 438784  73076 1033832    0    0     0    12 1665 2235  8  2 86  0  4
 0  0      0 438784  73076 1033852    0    0     0     6 1300 1733  5  2 91  0  1
 0  0      0 438536  73076 1033864    0    0     0   184  856 1132  3  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 438536  73076 1033868    0    0     0    11  441  575  2  1 98  0  0
