procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 167452  89472 1310584    0    0     1     7   14   17  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0    43   72  129  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   62   97  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     3   64   99  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   67  107  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     4   62   99  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0    49   61   97  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0   338   94  157  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0    12   68  105  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   62   98  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     2   56   94  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     1   68  104  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0    19   67  104  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   58   95  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     3   80  127  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     3   60  101  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     8   81  120  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0    10   62  100  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   62   99  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0    38   62   96  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   67  106  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 167452  89472 1310596    0    0     0     3   60   97  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   59   98  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     5   66  106  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     3   65  101  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   57   95  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     2   63  100  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     3   59   98  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     1   70  106  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     4   67  100  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     4   62   99  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   54   91  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     2   69  107  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   55   94  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     5   61   98  0  0 100  0  0
 1  0      0 167452  89472 1310596    0    0     0     2   65  101  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     3   68  105  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   55   95  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     2   63  101  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     0   60   99  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     3   68  107  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     2   57   93  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 167452  89472 1310596    0    0     0     3   63   98  0  0 100  0  0
 0  0      0 167452  89472 1310596    0    0     0     2   59   94  0  0 100  0  0
