procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 109512  69436 1266900    0    0     2    12   11   17  6  1 93  0  1
 0  0      0 107992  69436 1267004    0    0     0   246  337  375  2  0 97  0  0
 2  0      0 107072  69436 1267008    0    0     0    37  682  702  5  1 94  0  0
 1  0      0 103700  69436 1267144    0    0     0    11 1192 1193 10  1 88  0  1
 1  0      0 102592  69436 1267152    0    0     0   195 1374 1399 12  1 84  0  2
 1  0      0  98988  69440 1267164    0    0     0    15 1689 1738 15  3 71  0 11
 1  0      0  93876  69440 1267176    0    0     0    14 2237 2242 19  3 76  0  2
 0  0      0  90456  69444 1267324    0    0     0   102 2437 2441 22  3 74  0  2
 0  0      0  89080  69452 1267344    0    0     0    14 2331 2353 21  2 75  0  2
 0  0      0  93648  69452 1267488    0    0     0    34 2364 2441 22  4 70  0  4
 0  0      0  94652  69456 1267508    0    0     0     5 2333 2407 21  3 70  0  5
 2  0      0  90468  69456 1267520    0    0     0     5 2422 2509 23  3 70  0  4
 2  0      0  89132  69456 1267604    0    0     0     5 2426 2430 22  3 74  0  1
 0  0      0  89528  69456 1267620    0    0     0   137 2326 2445 22  4 72  0  2
 0  0      0  89408  69456 1267636    0    0     0    11 2337 2432 22  3 73  0  2
 1  0      0  89736  69456 1267652    0    0     0     5 2388 2492 21  3 74  0  2
 2  0      0  89372  69460 1267736    0    0     0     7 2334 2393 21  3 73  0  3
 0  0      0  91048  69460 1267876    0    0     0    14 2138 2225 20  3 61  0 16
 0  0      0  90752  69460 1268024    0    0     0     5 2278 2387 22  3 72  0  3
 1  0      0  90736  69460 1268040    0    0     0    11 2544 2667 24  4 69  0  3
 1  0      0  89688  69460 1268352    0    0     0   170 3156 3114 28  5 64  0  3
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0  89220  69460 1268332    0    0     0    14 3375 3372 31  3 63  0  2
 1  0      0  89732  69460 1268480    0    0     0    16 3339 3321 31  4 63  0  2
 1  0      0  91648  69460 1268504    0    0     0    17 3466 3395 30  4 64  0  2
 1  0      0  92164  69460 1268660    0    0     0    46 3497 3403 30  4 64  0  2
 1  0      0  93536  69460 1268680    0    0     0    12 3346 3317 30  4 62  0  3
 1  0      0  94996  69464 1268964    0    0     0   186 3416 3392 30  5 63  0  2
 2  0      0  94176  69464 1269112    0    0     0     5 3276 3255 30  4 63  0  3
 0  0      0  93308  69468 1269132    0    0     0     6 3196 3364 30  4 62  0  3
 1  0      0  92556  69468 1269156    0    0     0     5 2287 2445 23  3 60  0 14
 1  0      0  92496  69468 1269188    0    0     0     5 3043 3146 28  3 66  0  3
 2  0      0  91836  69472 1269204    0    0     0    22 3218 3251 28  4 66  0  2
 1  0      0 118348  69472 1247544    0    0     0   208 3206 3283 29  4 64  0  3
 0  0      0 116368  69480 1247648    0    0     0  1170 3161 3039 27  4 67  0  2
 0  0      0 115336  69480 1247848    0    0     0     6 3163 3219 29  4 65  0  2
 1  0      0 111840  69480 1247868    0    0     0     6 3305 3399 30  4 63  0  2
 1  0      0 111348  69484 1248024    0    0     0     6 3229 3294 30  3 65  0  2
 0  0      0 111472  69488 1248172    0    0     0     6 3040 3048 27  4 65  0  3
 0  0      0 112048  69488 1248516    0    0     0   162 3024 2987 27  4 68  0  2
 0  0      0 112004  69488 1248664    0    0     0     6 3131 3095 28  4 65  0  3
 1  0      0 110996  69492 1248680    0    0     0     6 2499 2499 22  3 73  0  2
 0  0      0 111252  69492 1248692    0    0     0     6 1285 1300 11  2 83  0  4
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 111456  69492 1248700    0    0     0    14  850  844  7  1 92  0  0
