procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 427560   2168 332068    0    0     1    11   15  154  1  0 99  0  0
 0  0      0 410424   2168 332072    0    0     0     3  447  651  1  1 98  0  0
 0  0      0 408660   2168 332076    0    0     0     2  544  936  0  0 99  0  0
 0  0      0 406896   2168 332076    0    0     0     2  692 1184  1  0 99  0  0
 0  0      0 405384   2168 332076    0    0     0     0  827 1400  1  0 99  0  0
 0  0      0 404376   2168 332076    0    0     0     0  950 1606  1  0 98  0  0
 0  0      0 403872   2168 332076    0    0     0     2 1075 1804  1  1 98  0  0
 0  0      0 403368   2168 332076    0    0     0    26  999 1690  1  0 98  0  0
 0  0      0 402612   2168 332076    0    0     0     0  589 1031  1  0 98  0  1
 0  0      0 402360   2168 332080    0    0     0     0  568  996  0  0 99  0  0
 3  0      0 400848   2168 332080    0    0     0     2  876 1496  1  0 99  0  0
 0  0      0 396100   2168 332080    0    0     0     0 1066 1828  1  1 97  0  0
 0  0      0 396100   2168 332080    0    0     0     2 1041 1785  1  0 99  0  0
 0  0      0 396100   2168 332080    0    0     0     6  948 1600  1  0 99  0  0
 0  0      0 396100   2168 332080    0    0     0     0  962 1658  0  0 99  0  0
 0  0      0 394840   2168 332080    0    0     0     0  984 1667  1  0 99  0  0
 0  0      0 393580   2168 332084    0    0     0     2  987 1687  1  0 99  0  0
 0  0      0 393580   2168 332084    0    0     0   415  909 1578  0  0 99  0  0
 0  0      0 392572   2168 332084    0    0     0     0  934 1611  0  0 99  0  0
 0  0      0 389800   2168 332084    0    0     0    26 1132 1887  2  0 98  0  0
 0  0      0 389800   2168 332084    0    0     0     2  814 1385  1  1 97  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 389548   2168 332084    0    0     0     0 1069 1807  1  1 98  0  0
 0  0      0 386524   2168 332084    0    0     0     0 1172 1958  2  1 98  0  0
 0  0      0 386020   2168 332088    0    0     0     2 1215 2040  1  1 97  0  1
 0  0      0 385768   2168 332088    0    0     0     0 1155 1926  1  1 97  0  1
 0  0      0 382240   2168 332108    0    0     0     9 1046 1760  1  0 99  0  0
 0  0      0 380476   2168 332108    0    0     0     3 1092 1853  1  1 98  0  1
 0  0      0 380476   2168 332108    0    0     0     0 1084 1834  1  0 99  0  0
 0  0      0 380476   2168 332108    0    0     0     0 1074 1818  1  1 98  0  0
 0  0      0 377956   2168 332108    0    0     0     1 1050 1787  1  1 99  0  0
 0  0      0 374932   2168 332112    0    0     0     0  964 1645  2  1 98  0  0
 0  0      0 374680   2168 332112    0    0     0     5  899 1538  0  0 99  0  0
 0  0      0 374680   2168 332112    0    0     0     0  654 1151  1  0 97  0  1
 0  0      0 374680   2168 332112    0    0     0     2  639 1105  1  0 99  0  0
 0  0      0 374680   2168 332112    0    0     0     0  709 1223  1  0 99  0  0
 0  0      0 370408   2168 332120    0    0     0     0  814 1390  1  1 98  0  0
 0  0      0 370156   2168 332124    0    0     0   410  956 1633  1  0 98  0  0
 0  0      0 369904   2168 332124    0    0     0     9  713 1241  1  0 99  0  0
 0  0      0 369652   2168 332124    0    0     0     0  621 1113  1  0 99  0  0
 0  0      0 369652   2168 332124    0    0     0     2  590 1054  0  0 99  0  0
 0  0      0 369652   2168 332124    0    0     0     0  638 1148  0  0 99  0  0
 0  0      0 369652   2168 332124    0    0     0     0  669 1162  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 369652   2168 332124    0    0     0     2  535  951  0  0 100  0  0
