procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 407576   2168 329608    0    0     1    11  137   99  1  0 99  0  0
 0  0      0 401276   2168 329612    0    0     0     2  454  686  2  0 98  0  0
 0  0      0 400772   2168 329612    0    0     0     1  577 1010  0  0 99  0  0
 0  0      0 399764   2168 329612    0    0     0    13  698 1180  0  0 99  0  0
 0  0      0 399512   2168 329612    0    0     0   447  844 1442  1  0 98  0  0
 0  0      0 398756   2168 329612    0    0     0     1  987 1677  1  1 98  0  0
 0  0      0 398252   2168 329616    0    0     0     4 1123 1888  1  1 98  0  1
 0  0      0 397748   2168 329616    0    0     0     1 1016 1740  1  0 98  0  1
 0  0      0 397244   2168 329616    0    0     0     1 1254 2141  1  1 98  0  1
 0  0      0 396992   2168 329616    0    0     0    42 1193 2035  1  1 98  0  1
 0  0      0 395984   2168 329616    0    0     0     1 1239 2098  1  1 98  0  0
 0  0      0 395480   2168 329616    0    0     0     1 1181 1996  0  1 98  0  1
 0  0      0 394976   2168 329616    0    0     0     4 1247 2109  1  0 98  0  1
 0  0      0 394220   2168 329620    0    0     0     2 1228 2092  1  1 97  0  0
 0  0      0 393968   2168 329620    0    0     0     1 1268 2143  1  1 98  0  0
 0  0      0 393464   2168 329620    0    0     0     7 1262 2141  1  1 98  0  0
 0  0      0 393212   2168 329620    0    0     0     3 1254 2119  1  0 98  0  0
 0  0      0 392960   2168 329620    0    0     0     1 1265 2140  1  0 98  0  0
 0  0      0 388676   2168 329620    0    0     0     1 1277 2120  2  1 97  0  0
 0  0      0 387668   2168 329624    0    0     0     3 1055 1790  1  0 97  0  2
 0  0      0 387668   2168 329624    0    0     0     2 1465 2445  0  1 98  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 383384   2168 329624    0    0     0    18 1544 2550  2  1 97  0  0
 0  0      0 378860   2168 329756    0    0     0     3 1582 2627  2  1 96  0  0
 0  0      0 378860   2168 329756    0    0     0   403 1485 2486  1  1 98  0  1
 0  0      0 377096   2168 329756    0    0     0     1 1525 2542  1  1 97  0  1
 0  0      0 377096   2168 329756    0    0     0     3 1430 2405  1  1 98  0  1
 0  0      0 376844   2168 329756    0    0     0     2 1430 2395  1  0 98  0  0
 0  0      0 373316   2168 329760    0    0     0     3 1439 2415  1  1 98  0  0
 0  0      0 370292   2168 329760    0    0     0     1 1461 2460  1  1 98  0  0
 0  0      0 370040   2168 329760    0    0     0     3 1441 2418  1  1 97  0  1
 0  0      0 369788   2168 329760    0    0     0     1 1516 2557  2  1 97  0  1
 0  0      0 368780   2168 329760    0    0     0     1 1123 1930  1  0 97  0  2
 0  0      0 364244   2168 329760    0    0     0     3 1466 2449  2  0 97  0  1
 0  0      0 363992   2168 329764    0    0     0    29 1387 2356  1  0 98  0  0
 0  0      0 363992   2168 329764    0    0     0     2 1421 2402  1  1 97  0  1
 3  0      0 363992   2168 329764    0    0     0     3 1410 2369  1  0 98  0  1
 0  0      0 360716   2168 329764    0    0     0     1 1437 2421  1  1 98  0  1
 0  0      0 356936   2168 329764    0    0     0     1 1426 2409  2  1 97  0  1
 0  0      0 356936   2168 329764    0    0     0     3 1268 2137  2  1 97  0  0
 0  0      0 356936   2168 329764    0    0     0     6 1325 2229  1  1 98  0  0
 0  0      0 356936   2168 329768    0    0     0     1 1314 2206  2  0 98  0  0
 0  0      0 356432   2168 329768    0    0     0     4 1031 1758  1  0 98  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 355172   2168 329768    0    0     0     1  625 1083  0  1 99  0  0
