procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 406260   2168 331764    0    0     1    11   13  150  1  0 99  0  0
 0  0      0 396684   2168 331772    0    0     0     3  503  753  2  1 97  0  1
 0  0      0 395928   2168 331772    0    0     0     2  546  955  0  0 100  0  0
 0  0      0 392400   2168 331772    0    0     0     0  761 1308  1  1 98  0  0
 0  0      0 392400   2168 331772    0    0     0     6  856 1463  1  1 99  0  0
 0  0      0 392400   2168 331772    0    0     0    16 1018 1737  1  0 98  0  0
 0  0      0 391644   2168 331756    0    0     0     0 1150 1939  1  1 98  0  0
 0  0      0 391644   2168 331756    0    0     0     2 1175 1978  1  0 98  0  1
 0  0      0 390636   2168 331760    0    0     0     3 1140 1917  1  1 98  0  0
 0  0      0 390384   2168 331760    0    0     0   429 1208 2079  1  1 98  0  0
 0  0      0 389880   2168 331760    0    0     0     0 1176 1982  2  0 98  0  0
 0  0      0 389376   2168 331760    0    0     0    33 1213 2048  1  0 98  0  0
 0  0      0 389124   2168 331760    0    0     0     0 1006 1724  1  1 97  0  1
 0  0      0 388872   2168 331760    0    0     0     0 1136 1930  1  0 98  0  0
 0  0      0 387864   2168 331760    0    0     0     3 1216 2061  1  0 99  0  0
 0  0      0 387864   2168 331764    0    0     0     0 1154 1957  1  0 98  0  0
 0  0      0 385848   2168 331764    0    0     0     0 1196 2014  1  1 98  0  0
 0  0      0 385848   2168 331764    0    0     0    17 1207 2052  1  0 98  0  0
 3  0      0 384084   2168 331764    0    0     0     0 1197 2016  1  0 98  0  0
 0  0      0 383832   2168 331764    0    0     0     0 1249 2077  1  1 98  0  0
 0  0      0 381564   2168 331764    0    0     0     2 1289 2137  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 381060   2168 331764    0    0     0     2 1257 2088  1  1 98  0  0
 0  0      0 379548   2168 331768    0    0     0     0 1256 2096  1  1 98  0  0
 0  0      0 377784   2168 331768    0    0     0    16 1333 2233  2  0 97  0  0
 0  0      0 377784   2168 331768    0    0     0     0 1102 1867  1  0 97  0  2
 0  0      0 374760   2168 331784    0    0     0     0 1146 1922  1  1 97  0  1
 0  0      0 374256   2168 331784    0    0     0     0 1164 1983  1  0 97  0  1
 0  0      0 369724   2168 331784    0    0     0     2 1214 2035  2  1 97  0  0
 0  0      0 369724   2168 331784    0    0     0     1 1190 1995  1  1 98  0  0
 0  0      0 365944   2168 331788    0    0     0     3 1197 2014  1  0 99  0  0
 0  0      0 362920   2168 331788    0    0     0     2 1216 2047  1  1 98  0  0
 0  0      0 362920   2168 331788    0    0     0     0 1182 1998  1  1 98  0  0
 0  0      0 362920   2168 331788    0    0     0     0 1158 1971  1  0 98  0  1
 0  0      0 362164   2168 331788    0    0     0   443 1232 2116  1  1 98  0  0
 0  0      0 359392   2168 331788    0    0     0     0 1192 2024  1  1 98  0  1
 0  0      0 357124   2168 331796    0    0     0    24 1221 2079  1  1 97  0  0
 0  0      0 357124   2168 331796    0    0     0     3  963 1662  1  0 98  0  1
 0  0      0 357124   2168 331796    0    0     0     0 1115 1910  1  0 99  0  1
 0  0      0 357124   2168 331796    0    0     0     0 1095 1873  1  1 98  0  1
 0  0      0 356620   2168 331796    0    0     0     8 1116 1915  1  0 98  0  0
 0  0      0 352084   2168 331796    0    0     0     2 1124 1916  1  0 98  0  0
 0  0      0 350068   2168 331796    0    0     0    11 1025 1743  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 350068   2168 331800    0    0     0     0  650 1158  0  0 99  0  0
