procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 416796   2168 325164    0    0     1    11   79   14  1  0 99  0  0
 0  0      0 403188   2168 325172    0    0     0    23  536  762  2  1 97  0  0
 0  0      0 401928   2168 325172    0    0     0     0  768 1158  2  1 96  0  0
 0  0      0 396132   2168 325172    0    0     0     1 1115 1629  2  2 95  0  1
 0  0      0 394368   2168 325172    0    0     0     2 1419 1999  2  1 96  0  0
 0  0      0 389580   2168 325172    0    0     0     1 1658 2431  2  2 96  0  0
 0  0      0 382016   2168 325172    0    0     0     2 2035 2878  3  1 95  0  0
 0  0      0 381008   2168 325176    0    0     0    35 2154 2976  2  3 95  0  1
 0  0      0 374708   2168 325176    0    0     0     0 2095 3020  3  1 94  0  1
 0  0      0 374708   2168 325176    0    0     0     0 2038 2859  3  1 95  0  1
 0  0      0 374452   2168 325176    0    0     0     2 2231 3040  3  2 95  0  1
 0  0      0 373696   2168 325176    0    0     0     0 2134 2993  3  1 95  0  1
 0  0      0 369412   2168 325176    0    0     0     0 2146 3054  3  1 95  0  1
 0  0      0 368152   2168 325180    0    0     0    16 2154 3009  3  2 95  0  1
 0  0      0 367900   2168 325180    0    0     0     0 2102 2933  3  1 94  0  2
 0  0      0 367900   2168 325180    0    0     0     0 2120 2984  3  2 93  0  2
 0  0      0 367648   2168 325180    0    0     0     1 2276 3135  3  2 95  0  1
 0  0      0 366388   2168 325180    0    0     0     0 2211 3103  2  2 95  0  1
 0  0      0 361156   2168 325180    0    0     0     0 2233 3246  3  2 95  0  1
 0  0      0 361156   2168 325180    0    0     0     8 2316 3327  3  2 94  0  1
 0  0      0 357376   2168 325184    0    0     0     0 2881 4006  4  2 94  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 353348   2168 325184    0    0     0     0 2957 4130  4  2 93  0  2
 0  0      0 341996   2168 325184    0    0     0     2 3825 5148  4  3 92  0  1
 0  0      0 336200   2168 325184    0    0     0     0 3873 5379  5  2 91  0  2
 0  0      0 327632   2168 325184    0    0     0   360 4372 6168  6  3 90  0  1
 0  0      0 324352   2168 325184    0    0     0    35 4472 5993  6  3 90  0  1
 0  0      0 319532   2168 325184    0    0     0     2 4236 5861  4  2 92  0  2
 0  0      0 317012   2168 325188    0    0     0     0 3442 4723  5  3 86  0  6
 0  0      0 315752   2168 325188    0    0     0     0 4565 6261  5  3 91  0  2
 0  0      0 311440   2168 325188    0    0     0     2 4226 5578  5  3 91  0  1
 2  0      0 310172   2168 325188    0    0     0     0 4138 5514  4  3 92  0  1
 0  0      0 305636   2168 325188    0    0     0     5 4085 5653  5  3 90  0  2
 0  0      0 302828   2168 325188    0    0     0     2 4357 6062  4  3 92  0  1
 0  0      0 298040   2168 325188    0    0     0     0 4190 5838  6  2 90  0  2
 3  0      0 297032   2168 325192    0    0     0     0 4851 6269  5  3 90  0  1
 0  0      0 289724   2168 325192    0    0     0     2 4345 5682  7  3 88  0  2
 0  0      0 284684   2168 325192    0    0     0     0 4612 6020  5  4 89  0  2
 0  0      0 283676   2168 325192    0    0     0     3 4397 5942  5  3 90  0  2
 3  0      0 281912   2168 325192    0    0     0     2 3901 5240  5  2 89  0  3
 0  0      0 279840   2168 325192    0    0     0     1 2944 3836  5  3 75  0 17
 0  0      0 279840   2168 325192    0    0     0     0 2659 3705  5  2 92  0  1
 0  0      0 279840   2168 325196    0    0     0     0 1767 2547  2  1 96  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 277572   2168 325200    0    0     0     2  993 1531  3  2 95  0  0
